Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
3001,B0009JI7O8,A38BTTQSSMU4SO,feliciaflan,0,0,5,1342742400,feliciaflan,"I am very pleased with this product. I almost did not buy them because they looked green on my computer, but when I received them they were the normal tan color that most of them are."
3002,B0009JI7O8,AI7QVPI5LKFGG,imi36,0,0,5,1340323200,Fortune Cookies,This is the second time I have ordered this product.  I was happy enough the first time to place an order again.  Cookies were fine and delivery was very quick. Thank you.
3003,B0009JI7O8,AU9Q5W0WD5TO7,XBD1226,0,0,5,1332374400,Very good,Well packed. Few are broken but it is understandable. The cookies are tasty and the notes are interesting. My friends and I really enjoyed it! Thx!
3004,B0009JI7O8,A39ND8C922HWRZ,Jacklyn,0,0,5,1326672000,awsome!!,"Great Product, fast shipment,the food product tasted great. none of the fortune cookies where opened.  i would buy again from this seller!"
3005,B0009JI7O8,A2Z7Q8A0MG9VJL,Daisy,0,0,5,1325894400,PERFECT,"I bought these as a gift for my sister, I was so excited to see that they arrived in great condition. My sister loved them!"
3006,B0009JI7O8,A28AU30YC7RO0X,new to amazon purchasing,0,1,4,1326758400,satisfied customer,These cookies were a big hit at our progressive New Year's Eve dinner.  Everyone enjoyed reading their fortune each time we arrived at another house. They really kept the party moving...
3007,B005UOJR50,A1PT7UXK3SFBHC,"mp70 ""phyllis""",0,0,4,1325203200,great product--but a rip-off on this site,"This is a great product, however, you can buy it in a salumeria in Brooklyn, NY for $9.99.  Frank & Sal on 18th Avenue--Brooklyn. And I'm editing my review because amazon assigned me the profile name ""LIAR LIAR."" Animals! I was only stating a fact about what a rip-off the site is.  In the future ,Amazonn please don't call me a liar. That's not nice you stupid thieves."
3008,B000B2PDKY,A3HZQS78DFYM4Y,Fireplug1a,0,0,5,1325462400,"Great aroma, and I don't like coffee","Bought as a Christmas present. Smells like a milk shake. I might have to try it, might make a coffee drinker out of me!"
3009,B002BERULK,A3FZIF4QSGUS3T,"Aggie ""girlfriend""",2,2,5,1323561600,Jarred Paradise,"Amazing! My roommate brought this home because it was on sale and at first I just gave it a shrug. Within a week I was adding it to every combination of bread, peanut-butter, muffins, sauces, meats I had in my kitchen-- guiltily apologizing to my roommate as I scooped and slathered away. Anything I added it to, even if it seemed strange was immediately transformed into something wonderfully delicious. Even sweetening my tea and coffee with it had me in bliss. Needless to say, the jar was emptied quickly. I went back to the store to try stock up but they were all sold out and I haven't been able to find anything like it since. Please MacKays! bring your deliciousness back, I have a long life ahead of me and I've only just discovered you!!"
3010,B000BRNQL2,A35CWFCQHGRGIY,Sharon,0,0,4,1172793600,Yummy!,"I bought this for my sister for christmas...she loved it, but was afraid she'd eat all of it at once, so she took the box to work.  Within 1 hour, it was finished by all her interns!"
3011,B000HNE1IM,A2Y695A1DXMT1J,Drew Samson,0,1,3,1332115200,Tastes Like Wint-O-Green Life Savers,"This tastes just like Wint-O-Green Life Savers. It's a hard, sweet, crunchy ring, with a minty flavor. That pretty much describes it. It's a crunchy mint shaped like a ring."
3012,B001LDOFJ2,A2HDIIWPFC88ER,Betsy,0,0,3,1275696000,"Good popcorn, poor shipping","This is good popcorn, I have purchased before in Hawaii.  I was happy to see that I can order online.  However, I purchase the 20 pack and they overstuffed the box.  There is no bubble wrap or any type of wrapping around the individual packages before they put it into the box.  They choose a small box that can barely fix all twenty packages.  It is overstuffed to the point that the box is no longer squared, but rounded somewhat.  The postal service does not treat the package with care, so when it arrived, there was a wet stain.  When we opened it, two packages had been damaged, and the butter leaked all over all the other packages.  We had to spend a long time washing all the packages, because they are all greasy.  The greasiness does not wash off easily even with soap.  Now when eating them, some of the other packages of popcorn got water in them because of the washing, they are not air-tight packages.  So when popping them, there are a lot of unpopped kernels.  They should use bigger boxes and wrap it better."
3013,B000VDNGIO,A2W9I628I6SE1U,"Kort ""Art, Music, Book & Movie Enthusiast""",0,0,4,1284681600,It's like Buttah!,"Okay, not like the butter most people would expect, but a very smooth, full and slightly savory vegetal flavor. The first time you take a sip, you might not notice it, but let it sit in your mouth a bit before swallowing and then take another sip. The more you drink it, the more it will become apparent. It is very soothing to the pallet.<br /><br />Jin Xuan Golden Lily Oolong from Summit Tea Company it a good if not great tea, especially for the price and quantity you get. A solid every day drinker. It is not as complex as some that I've had, but that could be due to how long ago it was harvested and a number of other conditions. Depending on how you brew it, a serving of these leaves is good for 4-5 infusions before the flavor wanes, making it an even better value. And even then, the broth is soft and sweet.<br /><br />If you like your Oolongs more on the green side, then you should give it a try. I know I'll be ordering another tin."
3014,B0025UALB6,A3582YZ05M9NU5,"Laplace Transform ""Laplace Transform""",2,2,5,1272240000,"Awesome snack, great product.","I eat these tuna cups (or the salmon cups) almost daily.<br /><br />If you're looking for a nutritious snack, these cups really can't be beat.  If you're a bodybuilder or athlete trying to increase your daily protein intake, these are awesome.  If you're a parent trying to get your kid to eat healthy, getting them to like fish is a great idea.  If you're trying to eat 5-7 meals a day to lose weight, make one of these cups one of your meals, the protein fills you up and makes you feel good.  It also requires a bit of chewing to complete the eating experience.<br /><br />Why eat a nutritionally empty ""100 calorie pack"" of goldfish crackers or potato chips when you could have something like this that has only 80 calories and infinitely more nutritional benefit??<br /><br />I'll eat these alone, straight from the cup, basically anywhere since you don't need to refridgerate and you don't need a can opener.  I'll dump them onto salad, or mix with rice, quinoa, or beans.<br /><br />Here's the nutrition data off the back (for 1 2.7oz cup) at the time of writing:<br /><br />Calories 80 (10 from fat)<br />Total Fat 1g<br />Cholesterol 35mg<br />Sodium 15mg<br />Total Carb 0g<br />Protein 18g<br />Omega-3 EPA/DHA 200mg<br /><br />You really can't beat this for something so portable that requires no preparation or refridgeration.  The package says ""in water"" but there's a little bit of broth in the cup, and if you squeeze this out or just leave it at the bottom of the cup, you probably cut the sodium down to 10mg.<br /><br />I highly recommend these tuna cups and the salmon cups as well.  But, avoid the tuna salad, or the flavored varieties if you are looking to get the maximum nutritional benefit.  Those salads and flavorings just add salt, sugar, carbs."
3015,B0025UALB6,AWA0H9KO7CFPD,Susan C. Parks,0,0,5,1351036800,Handy Size,"Although I prefer to get my tuna in the foil packages, what I had ordered appears to no longer be available through Amazon so I tried these and they are handy and pretty goo eating for one.  Toss on a salad, or use on bread or toast to add good quality protein."
3016,B0025UALB6,A2RBFWYVFLN9AK,Wendy Nicholls,0,0,5,1348531200,My cats love this tuna,"Cats are such finicky eaters some times.  My old lady kitty does not like the canned cat foods, but she always went nuts whenever I'd open a can of tuna for myself.  So I gave her some one time.  These Tuna Cups are a great way to keep the tuna fresh enough over a few days, and good for travel.<br /><br />Same items can be purchased at grocery store, but buying in quantity through Amazon saves some $$.  Thank you"
